################################################################################
# Collectl:   V3.6.9-1  HiRes: 1  Options: -i 5 --iosize -oD -scdmnj -P --sep , -f myfile.out 
# Host:       stackstorm-fe68isa7  DaemonOpts: 
# Booted:     1472500079.32 [20160829-19:47:59]
# Distro:     debian jessie/sid, Ubuntu 14.04.4 LTS  Platform: 
# Date:       20160903-213522  Secs: 1472938522 TZ: +0000
# SubSys:     cdmnj Options: D Interval: 5 NumCPUs: 1  NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-gnu-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 2194.679 Cores: 1  Siblings: 1 Nodes: 1
# Kernel:     3.19.0-49-generic  Memory: 3523128 kB  Swap: 4194300 kB
# NumDisks:   2 DiskNames: sda sdb
# NumNets:    6 NetNames: veth4b26ff5:10000 eth0:?? vethbf7c388:10000 docker0:?? veth505a383:10000 lo:??
# SCSI:       DA:2:00:00:00 DA:3:00:01:00
################################################################################
#Date,Time,[CPU]User%,[CPU]Nice%,[CPU]Sys%,[CPU]Wait%,[CPU]Irq%,[CPU]Soft%,[CPU]Steal%,[CPU]Idle%,[CPU]Totl%,[CPU]Intrpt/sec,[CPU]Ctx/sec,[CPU]Proc/sec,[CPU]ProcQue,[CPU]ProcRun,[CPU]L-Avg1,[CPU]L-Avg5,[CPU]L-Avg15,[CPU]RunTot,[CPU]BlkTot,[MEM]Tot,[MEM]Used,[MEM]Free,[MEM]Shared,[MEM]Buf,[MEM]Cached,[MEM]Slab,[MEM]Map,[MEM]Anon,[MEM]Commit,[MEM]Locked,[MEM]SwapTot,[MEM]SwapUsed,[MEM]SwapFree,[MEM]SwapIn,[MEM]SwapOut,[MEM]Dirty,[MEM]Clean,[MEM]Laundry,[MEM]Inactive,[MEM]PageIn,[MEM]PageOut,[MEM]PageFaults,[MEM]PageMajFaults,[MEM]HugeTotal,[MEM]HugeFree,[MEM]HugeRsvd,[MEM]SUnreclaim,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[DSK]ReadTot,[DSK]WriteTot,[DSK]OpsTot,[DSK]ReadKBTot,[DSK]WriteKBTot,[DSK]KbTot,[DSK]ReadMrgTot,[DSK]WriteMrgTot,[DSK]MrgTot
20160903,22:12:33,95,0,5,0,0,0,0,0,100,18,1621,1,368,1,12.41,17.63,14.77,1,14,3523128,1200960,2322168,0,5296,645012,70148,32732,316068,2299532,0,4194300,1069960,3124340,1,0,415224,0,0,609540,6,22348,133,2,0,0,0,27652,10,16,3,4,0,0,0,0,0,1,41,43,6,18074,18080,0,6,6
20160903,22:12:38,94,0,5,0,0,0,0,0,100,18,1954,1,371,1,12.70,17.60,14.78,1,14,3523128,1333808,2189320,0,5304,771948,72992,36012,318484,2313300,0,4194300,1069912,3124388,2,0,427600,0,0,736004,8,23189,499,2,0,0,0,27244,11,15,2,5,0,0,0,0,0,2,71,73,8,29896,29904,0,7,7
20160903,22:12:43,95,0,4,0,0,0,0,0,100,18,1664,1,370,1,12.89,17.56,14.78,1,13,3523128,1460812,2062316,0,5312,896940,76364,34800,317412,2313300,0,4194300,1069860,3124440,2,0,410572,0,0,860496,6,28536,335,1,0,0,0,27412,5,8,0,4,0,0,0,0,0,2,99,101,7,25891,25898,0,9,9
20160903,22:12:48,69,0,14,17,0,0,0,0,83,18,1429,5,378,1,13.70,17.65,14.82,1,22,3523128,1070028,2453100,0,5320,506268,66584,32712,326760,2314064,0,4194300,1069812,3124488,0,0,360944,0,0,471380,2,30218,1328,0,0,0,0,27660,11,17,2,4,0,0,0,0,0,0,87,87,2,26064,26066,0,9,10
20160903,22:12:53,95,0,5,0,0,0,0,0,100,18,1580,0,378,1,15.00,17.85,14.90,1,23,3523128,1212412,2310716,0,5320,644864,70164,32712,326768,2314064,0,4194300,1069796,3124504,1,0,436216,0,0,609388,5,13108,187,1,0,0,0,27660,4,7,0,4,0,0,0,0,0,1,28,29,4,13723,13727,0,0,0
20160903,22:12:58,96,0,3,0,0,0,0,0,100,18,1528,0,378,1,15.80,17.97,14.96,1,24,3523128,1331164,2191964,0,5332,760892,72816,32740,326848,2314064,0,4194300,1069728,3124572,2,0,469324,0,0,724948,10,16715,132,2,0,0,0,27372,8,13,2,4,0,0,0,0,0,2,70,72,10,25067,25077,1,13,13
20160903,22:13:03,96,0,4,0,0,0,0,0,100,18,1525,0,378,1,16.94,18.17,15.04,2,23,3523128,1419400,2103728,0,5340,846712,75320,32712,326856,2314064,0,4194300,1069712,3124588,1,0,391812,0,0,810304,2,32778,165,1,0,0,0,27628,13,20,3,4,0,0,0,0,0,1,73,73,2,124753,124755,0,8,8
20160903,22:13:08,88,0,9,2,0,0,0,0,98,18,1549,7,387,31,16.46,18.05,15.02,31,1,3523128,827180,2695948,0,5356,259564,59040,32760,337388,2328188,0,4194300,1069620,3124680,4,0,207288,0,0,225488,24,3112,2175,3,0,0,0,26404,10,14,1,4,0,0,0,0,0,4,154,158,25,16752,16777,1,17,18
20160903,22:13:13,91,0,9,0,0,0,0,0,100,18,1568,1,389,1,18.03,18.35,15.13,1,35,3523128,1221224,2301904,0,5360,640716,70116,34912,338632,2328188,0,4194300,1069596,3124704,1,0,430564,0,0,605116,5,32150,282,0,0,0,0,27676,9,14,1,5,0,0,0,0,0,0,55,55,3,106167,106170,1,7,8
20160903,22:13:18,96,0,4,0,0,0,0,0,100,18,1390,0,389,1,19.39,18.63,15.24,1,34,3523128,1366264,2156864,0,5372,782320,73444,34948,338656,2328188,0,4194300,1069576,3124724,0,0,465040,0,0,746180,2,21462,130,0,0,0,0,27388,4,7,0,2,0,0,0,0,0,0,38,38,2,18790,18792,0,8,8
